"","Taxa_updated","bin","count","proportion","X","abd_total_gm2_sp","abundance_per_bin"
"1","Atolla wyvillei","[7,15]",15,0.120967741935484,1,0.02532,0.00306290322580645
"2","Atolla wyvillei","(15,20]",15,0.120967741935484,1,0.02532,0.00306290322580645
"3","Atolla wyvillei","(20,27.8]",7,0.0564516129032258,1,0.02532,0.00142935483870968
"4","Atolla wyvillei","(27.8,36]",14,0.112903225806452,1,0.02532,0.00285870967741935
"5","Atolla wyvillei","(36,44]",11,0.0887096774193548,1,0.02532,0.00224612903225806
"6","Atolla wyvillei","(44,55.8]",12,0.0967741935483871,1,0.02532,0.00245032258064516
"7","Atolla wyvillei","(55.8,60.2]",13,0.104838709677419,1,0.02532,0.00265451612903226
"8","Atolla wyvillei","(60.2,65]",14,0.112903225806452,1,0.02532,0.00285870967741935
"9","Atolla wyvillei","(65,70]",15,0.120967741935484,1,0.02532,0.00306290322580645
"10","Atolla wyvillei","(70,75]",8,0.0645161290322581,1,0.02532,0.00163354838709677
"11","Bathylagus spp","[30,39]",8,0.121212121212121,2,0.02277,0.00276
"12","Bathylagus spp","(39,44]",7,0.106060606060606,2,0.02277,0.002415
"13","Bathylagus spp","(44,55.5]",5,0.0757575757575758,2,0.02277,0.001725
"14","Bathylagus spp","(55.5,67]",8,0.121212121212121,2,0.02277,0.00276
"15","Bathylagus spp","(67,74.5]",5,0.0757575757575758,2,0.02277,0.001725
"16","Bathylagus spp","(74.5,82]",8,0.121212121212121,2,0.02277,0.00276
"17","Bathylagus spp","(82,94]",5,0.0757575757575758,2,0.02277,0.001725
"18","Bathylagus spp","(94,102]",7,0.106060606060606,2,0.02277,0.002415
"19","Bathylagus spp","(102,120]",8,0.121212121212121,2,0.02277,0.00276
"20","Bathylagus spp","(120,165]",5,0.0757575757575758,2,0.02277,0.001725
"21","Chaetognath","[10,29.6]",165,0.100182149362477,3,37.3670813666667,3.74351452671524
"22","Chaetognath","(29.6,33]",186,0.112932604735883,3,37.3670813666667,4.21996183011537
"23","Chaetognath","(33,36]",182,0.11050394656952,3,37.3670813666667,4.12920996280106
"24","Chaetognath","(36,40]",228,0.138433515482696,3,37.3670813666667,5.17285643691561
"25","Chaetognath","(40,42]",111,0.0673952641165756,3,37.3670813666667,2.51836431797207
"26","Chaetognath","(42,45]",182,0.11050394656952,3,37.3670813666667,4.12920996280106
"27","Chaetognath","(45,48]",111,0.0673952641165756,3,37.3670813666667,2.51836431797207
"28","Chaetognath","(48,51]",165,0.100182149362477,3,37.3670813666667,3.74351452671524
"29","Chaetognath","(51,57]",171,0.103825136612022,3,37.3670813666667,3.87964232768671
"30","Chaetognath","(57,85]",146,0.0886460230722526,3,37.3670813666667,3.31244315697228
"31","Cranchidae","[5,11]",29,0.130630630630631,4,0.163676533333333,0.0213811687687687
"32","Cranchidae","(11,13]",21,0.0945945945945946,4,0.163676533333333,0.0154829153153153
"33","Cranchidae","(13,15]",28,0.126126126126126,4,0.163676533333333,0.020643887087087
"34","Cranchidae","(15,16]",15,0.0675675675675676,4,0.163676533333333,0.0110592252252252
"35","Cranchidae","(16,18]",30,0.135135135135135,4,0.163676533333333,0.0221184504504504
"36","Cranchidae","(18,20]",20,0.0900900900900901,4,0.163676533333333,0.0147456336336336
"37","Cranchidae","(20,22.7]",12,0.0540540540540541,4,0.163676533333333,0.00884738018018016
"38","Cranchidae","(22.7,27]",23,0.103603603603604,4,0.163676533333333,0.0169574786786786
"39","Cranchidae","(27,41.8]",21,0.0945945945945946,4,0.163676533333333,0.0154829153153153
"40","Cranchidae","(41.8,90]",23,0.103603603603604,4,0.163676533333333,0.0169574786786786
"41","Cyclothone spp","[0,25]",65,0.118181818181818,5,1.06976615,0.126426908636364
"42","Cyclothone spp","(25,30]",55,0.1,5,1.06976615,0.106976615
"43","Cyclothone spp","(30,34]",53,0.0963636363636364,5,1.06976615,0.103086556272727
"44","Cyclothone spp","(34,36]",67,0.121818181818182,5,1.06976615,0.130316967363636
"45","Cyclothone spp","(36,38]",64,0.116363636363636,5,1.06976615,0.124481879272727
"46","Cyclothone spp","(38,40]",80,0.145454545454545,5,1.06976615,0.155602349090909
"47","Cyclothone spp","(40,41]",22,0.04,5,1.06976615,0.042790646
"48","Cyclothone spp","(41,43]",55,0.1,5,1.06976615,0.106976615
"49","Cyclothone spp","(43,45]",43,0.0781818181818182,5,1.06976615,0.0836362626363636
"50","Cyclothone spp","(45,54]",46,0.0836363636363636,5,1.06976615,0.0894713507272727
"51","Euphausia similis","(15,16]",52,0.112068965517241,6,2.9283651,0.328178847413793
"52","Euphausia similis","(18,20]",84,0.181034482758621,6,2.9283651,0.530135061206897
"53","Euphausia similis","[10,14]",57,0.122844827586207,6,2.9283651,0.359734505818966
"54","Euphausia similis","(14,15]",55,0.118534482758621,6,2.9283651,0.347112242456897
"55","Euphausia similis","(16,17]",64,0.137931034482759,6,2.9283651,0.403912427586207
"56","Euphausia similis","(17,18]",59,0.127155172413793,6,2.9283651,0.372356769181034
"57","Euphausia similis","(20.4,22]",48,0.103448275862069,6,2.9283651,0.302934320689655
"58","Euphausia similis","(22,28]",45,0.0969827586206897,6,2.9283651,0.284000925646552
"59","Gymnosomata","[4,6.3]",8,0.108108108108108,7,0.035442,0.00383156756756757
"60","Gymnosomata","(6.3,10]",11,0.148648648648649,7,0.035442,0.00526840540540541
"61","Gymnosomata","(10,11.9]",3,0.0405405405405405,7,0.035442,0.00143683783783784
"62","Gymnosomata","(11.9,15]",11,0.148648648648649,7,0.035442,0.00526840540540541
"63","Gymnosomata","(15,17]",10,0.135135135135135,7,0.035442,0.00478945945945946
"64","Gymnosomata","(17,19.8]",1,0.0135135135135135,7,0.035442,0.000478945945945946
"65","Gymnosomata","(19.8,20]",11,0.148648648648649,7,0.035442,0.00526840540540541
"66","Gymnosomata","(20,22]",5,0.0675675675675676,7,0.035442,0.00239472972972973
"67","Gymnosomata","(22,25]",9,0.121621621621622,7,0.035442,0.00431051351351351
"68","Gymnosomata","(25,34]",5,0.0675675675675676,7,0.035442,0.00239472972972973
"69","Lampanyctus australis","[24,45]",8,0.114285714285714,8,0.153547166666667,0.0175482476190477
"70","Lampanyctus australis","(45,51]",7,0.1,8,0.153547166666667,0.0153547166666667
